#;Nome;Preco(USD);Var(24H);Var(7D);Simbolo;Preco(BTC);Valor de Mercado;Vol(24H);Vol Total;Timestamp
1;Bitcoin;5,364.8;+2.50%;-1.53%;BTC;1;$95.21B;$13.73B;31.30%;2019-05-01 21:25:01
2;Ethereum;159.53;+1.34%;-2.92%;ETH;0.0297009;$16.93B;$5.88B;13.40%;2019-05-01 21:25:01
3;XRP;0.30334;-0.09%;+0.81%;XRP;0.00005639;$12.75B;$944.56M;2.15%;2019-05-01 21:25:01
4;Bitcoin Cash;269.04;+7.89%;-2.55%;BCH;0.050099;$4.79B;$1.82B;4.14%;2019-05-01 21:25:01
5;Litecoin;72.647;+4.61%;+0.06%;LTC;0.0135375;$4.49B;$2.92B;6.67%;2019-05-01 21:25:01
6;EOS;4.7265;+3.25%;-0.65%;EOS;0.00088147;$4.48B;$1.82B;4.15%;2019-05-01 21:25:01
7;Binance Coin;21.7084;+0.64%;-3.03%;BNB;0.00404799;$3.08B;$177.04M;0.40%;2019-05-01 21:25:01
8;Tether;1.01221;-1.74%;-0.41%;USDT;0.00018639;$2.80B;$11.68B;26.61%;2019-05-01 21:25:01
9;Stellar;0.10080;+4.23%;-2.31%;XLM;0.00001875;$1.93B;$194.21M;0.44%;2019-05-01 21:25:01
10;Cardano;0.068408;+2.78%;-4.18%;ADA;0.00001275;$1.78B;$65.23M;0.15%;2019-05-01 21:25:01
11;TRON;0.023304;+2.01%;+1.40%;TRX;0.00000441;$1.58B;$646.92M;1.47%;2019-05-01 21:25:01
12;Monero;64.753;+5.17%;-4.06%;XMR;0.0118906;$1.08B;$38.45M;0.09%;2019-05-01 21:25:01
13;Dash;117.05;+6.97%;+1.83%;DASH;0.0217982;$1.03B;$277.99M;0.63%;2019-05-01 21:25:01
14;Bitcoin SV;53.98;+1.69%;+0.43%;BSV;0.00999397;$955.06M;$108.78M;0.25%;2019-05-01 21:25:01
15;IOTA;0.29139;+1.43%;+4.53%;MIOTA;0.00005577;$834.31M;$23.17M;0.05%;2019-05-01 21:25:01
16;Tezos;1.19569;+4.97%;-4.35%;XTZ;0.00022181;$789.76M;$4.43M;0.01%;2019-05-01 21:25:01
17;Waltonchain;27.1578;-0.04%;+27.87%;WTC;0.00242413;$676.18M;$10.54M;0.05%;2019-05-01 21:25:01
18;Ethereum Classic;5.7829;+1.70%;+3.83%;ETC;0.00107691;$638.32M;$444.70M;1.01%;2019-05-01 21:25:01
19;NEO;9.7266;+3.87%;-0.07%;NEO;0.00181381;$634.50M;$275.49M;0.63%;2019-05-01 21:25:01
20;Ontology;1.1591;+1.99%;+1.19%;ONT;0.00020733;$552.11M;$57.33M;0.13%;2019-05-01 21:25:01
21;Maker;518.46;-3.17%;-7.03%;MKR;0.0989344;$532.44M;$2.92M;0.01%;2019-05-01 21:25:01
22;NEM;0.05520;+0.81%;-4.54%;XEM;0.00001037;$502.05M;$10.90M;0.02%;2019-05-01 21:25:01
23;Basic Attention Token;0.38643;+2.94%;-8.96%;BAT;0.00007208;$486.47M;$46.51M;0.11%;2019-05-01 21:25:01
24;Crypto.com Chain;0.0695;+0.85%;+3.64%;CRO;0.00001366;$399.57M;$313.83K;0%;2019-05-01 21:25:01
25;Zcash;60.59;+4.62%;-5.99%;ZEC;0.0112777;$390.83M;$190.73M;0.43%;2019-05-01 21:25:01
