#;Name;Price (USD);Chg (24H);Chg (7D);Symbol;Price (BTC);Market Cap;Vol (24H);Total Vol;date_time
1;Bitcoin;5442.1;+3.89%;-0.23%;BTC;1;$96.52B;$13.69B;32.42%;2019-05-02 11:39:43
2;Ethereum;160.80;+2.12%;-1.84%;ETH;0.0295479;$17.09B;$5.56B;13.16%;2019-05-02 11:39:43
3;XRP;0.30432;+0.23%;+1.06%;XRP;0.00005583;$12.80B;$867.07M;2.05%;2019-05-02 11:39:43
4;Bitcoin Cash;276.21;+10.28%;-1.10%;BCH;0.0508245;$4.93B;$1.50B;3.56%;2019-05-02 11:39:43
5;Litecoin;73.514;+5.74%;+0.31%;LTC;0.0135347;$4.55B;$2.73B;6.46%;2019-05-02 11:39:43
6;EOS;4.7454;+3.63%;-0.27%;EOS;0.00087205;$4.50B;$1.62B;3.83%;2019-05-02 11:39:43
7;Binance Coin;22.6299;+4.69%;-0.30%;BNB;0.00417759;$3.22B;$194.23M;0.46%;2019-05-02 11:39:43
8;Tether;1.04017;+1.00%;-0.32%;USDT;0.00018376;$2.80B;$11.27B;26.69%;2019-05-02 11:39:43
9;Stellar;0.10120;+4.61%;-2.50%;XLM;0.00001858;$1.94B;$193.75M;0.46%;2019-05-02 11:39:43
10;Cardano;0.068766;+3.29%;-5.46%;ADA;0.00001262;$1.79B;$52.95M;0.13%;2019-05-02 11:39:43
11;TRON;0.023246;+1.77%;-1.00%;TRX;0.00000434;$1.58B;$642.02M;1.52%;2019-05-02 11:39:43
12;Monero;65.279;+5.93%;-4.01%;XMR;0.0117763;$1.09B;$42.53M;0.10%;2019-05-02 11:39:43
13;Dash;116.84;+6.81%;+0.01%;DASH;0.0215453;$1.03B;$278.36M;0.66%;2019-05-02 11:39:43
14;Bitcoin SV;53.81;+1.37%;+0.45%;BSV;0.00980863;$951.06M;$96.68M;0.23%;2019-05-02 11:39:43
15;IOTA;0.28862;+0.49%;+6.11%;MIOTA;0.00005484;$832.26M;$20.67M;0.05%;2019-05-02 11:39:43
16;Tezos;1.22229;+7.04%;-0.05%;XTZ;0.00022353;$808.24M;$4.31M;0.01%;2019-05-02 11:39:43
17;Waltonchain;27.1578;-0.04%;+27.87%;WTC;0.00242413;$676.18M;$10.54M;0.05%;2019-05-02 11:39:43
18;NEO;9.8014;+4.60%;-2.50%;NEO;0.00181455;$644.01M;$274.75M;0.65%;2019-05-02 11:39:43
19;Ethereum Classic;5.7958;+1.92%;+3.36%;ETC;0.00106422;$640.08M;$423.79M;1.00%;2019-05-02 11:39:43
20;Ontology;1.1711;+0.99%;+1.67%;ONT;0.00020432;$552.02M;$55.29M;0.13%;2019-05-02 11:39:43
21;Maker;531.58;-0.63%;-2.03%;MKR;0.100432;$548.38M;$2.67M;0.01%;2019-05-02 11:39:43
22;NEM;0.05566;+1.63%;-6.16%;XEM;0.00001032;$506.96M;$12.16M;0.03%;2019-05-02 11:39:43
23;Basic Attention Token;0.38881;+3.54%;-8.25%;BAT;0.00007124;$487.75M;$41.30M;0.10%;2019-05-02 11:39:43
24;Crypto.com Chain;0.0711;+3.01%;+3.44%;CRO;0.00001346;$401.51M;$300.50K;0%;2019-05-02 11:39:43
25;Zcash;60.17;+3.96%;-7.36%;ZEC;0.0110681;$389.41M;$171.59M;0.41%;2019-05-02 11:39:43
